p_name,p_gender,p-emailid,p_dob,p_homeaddress,p_pincode,p_area,p_mobilenum,p_pannum,p_citizenship,p_officeaddress,p_landline,p_password,p_confirmpassword
tony,male,aasda@gmail.com,10/01/2005,hyd,518001,hyd,9178158645,kyyez60xo5,605640,lps,319766,Anusha@1,Anusha@1
dora,female,bifasd@gmail.com,10/02/1996,chn,50031,chn,9190158654,l4fkogsnhi,698686,myu,672498,Anusha@1,Anusha@1
manisha,male,bfdassdn@gmail.com,1/03/1998,bgl,50032,bgl,9187158689,58dbig6wdv,473596,clc,198325,Anusha@1,Anusha@1
sony,female,bdssd@gmail.com,11/04/1994,kol,518001,kol,9168158635,ldd21eusgq,569165,ifi,882451,Anusha@1,Anusha@1
aravind,male,bssy@gmail.com,21/10/1990,knl,518083,knl,9175158690,vgkgykobf0,106383,sxk,199780,Anusha@1,Anusha@1
rithu,female,bnssh@gmail.com,7/11/1999,hyd,56032,hyd,9183158674,vbkxxk63rr,093470,tec,116313,Anusha@1,Anusha@1
catty,male,btssy@gmail.com,20/12/1999,cob,50632,cob,9198158689,gkrfdcm83l,608560,hvs,363370,Anusha@1,Anusha@1
guider,female,bessr@gmail.com,16/06/1998,delhi,57032,delhi,9189158623,r4o4j17zm5,764567,hvs,658499,Anusha@1,Anusha@1
harry,male,bussi@gmail.com,19/07/1999,chn,50092,chn,9182158645,1zasouzkwg,671356,cvi,056648,Anusha@1,Anusha@1
potter,male,bessr@gmail.com,13/11/1995,pune,56032,pune,9174158675,i6dy10u6y6,214730,zon,449824,Anusha@1,Anusha@1
sinur,male,bgssf@gmail.com,8/10/1992,indore,50432,indore,9169158634,e4o0lilkvx,419752,efy,154751,Anusha@1,Anusha@1
ramleel,male,brsst@gmail.com,19/04/1998,tyu,50042,tyu,9185158603,zbc4xqrh3l,812861,ztz,635714,Anusha@1,Anusha@1
sitara,female,byssy@gmail.com,25/09/1993,knl,53032,knl,9181158698,klmunv4w07,253836,pnr,702920,Anusha@1,Anusha@1
gitavani,female,bssyy@gmail.com,29/04/1994,leh,59032,leh,9193158652,nync1zeo8l,576527,xjs,128530,Anusha@1,Anusha@1
buntybabu,male,btssr@gmail.com,30/12/2000,karna,50332,karna,9194158634,26amw0gzsr,086319,ijy,463879,Anusha@1,Anusha@1




